,reward,transition,stay_prob,subject
147,unrewarded,rare,1.0,subject31
148,unrewarded,rare,0.86,subject32
149,unrewarded,rare,1.0,subject33
150,unrewarded,rare,0.09,subject34
151,unrewarded,rare,0.93,subject35
152,unrewarded,rare,0.91,subject36
153,unrewarded,rare,0.93,subject37
154,unrewarded,rare,0.77,subject38
155,unrewarded,rare,0.75,subject39
156,unrewarded,rare,0.95,subject40
157,unrewarded,rare,0.9,subject41
158,unrewarded,rare,0.88,subject42
159,unrewarded,rare,1.0,subject43
160,unrewarded,rare,1.0,subject44
161,unrewarded,rare,1.0,subject45
