,reward,transition,stay_prob,subject
151,unpunished,rare,0.28,subject35
152,unpunished,rare,0.0,subject36
153,unpunished,rare,0.0,subject37
154,unpunished,rare,0.0,subject38
155,unpunished,rare,0.67,subject39
156,unpunished,rare,0.0,subject40
157,unpunished,rare,0.55,subject41
158,unpunished,rare,0.25,subject42
159,unpunished,rare,0.0,subject43
160,unpunished,rare,0.0,subject44
161,unpunished,rare,0.43,subject45
