beta1,beta2,alpha1,alpha2,lambda,p,w
1.4220216585583703,7.429184896783686,0.44704096750680444,0.30055253851623126,0.5807921074201471,0.5427317411960411,0.4302777639152877
4.776084602166683,11.256874621949073,0.7222224112742739,0.3542599086726552,0.5313784468800252,0.0823498635220803,0.37526871149645413
0.8281303235225955,1.9380570031840438,0.4484167189562173,0.6577253960274272,0.49068920695671,0.5759691996380827,0.4623048898550964
9.975483052159102,3.284458952888469,0.4923664284476834,0.5534946015943678,0.502211165476411,0.551638155830214,0.46093362424469625
1.4913925800025725,1.016470976496512,0.5609560219630945,0.41554594789156163,0.5202763430702986,1.6358594169837746,0.6766738205263869
4.141237361049911,9.771724532820196,0.7906622251832578,0.49380863284217363,0.503830620506801,1.2395235113757703,0.5273149208070225
9.408068812991502,6.266446617607411,0.4981932717065077,0.5512518663996953,0.5010593996444284,0.558156299446496,0.46971853081925824
3.543347838165451,4.569853953838817,0.38085649587159714,0.09021001830209102,0.4544425935464429,0.0975863225928558,0.7650043789548807
7.493418979567257,1.4294005855266483,0.49979620518429474,0.3466912448338216,0.5000190548159181,1.4462011844851448,0.4993449129163337
7.511418080330548,7.462693502609218,0.4997159892689437,0.4999993627763901,0.500002962094341,1.61427962808136,0.4987324738222065
5.075400335535504,2.37069644489301,0.7904571243126772,0.48771139686516657,0.506714179826834,0.7121158852538608,0.2954498401550969
6.661782140241392,1.0124793478144767,0.1789502051902421,0.4777580826433385,0.5697493994717875,0.4102476512054293,0.5410937799254039
2.16924834520073,2.4198291216346814,0.2722707882768606,0.1194515868662431,0.4342060731079688,0.284919795710549,0.25944107040668374
0.8734656377886162,7.543464426405241,0.4522518241225685,0.32476931498764045,0.49716821045886134,0.4596385999257988,0.721808528209618
7.377255049034381,4.671105569433845,0.4396397562063942,0.740505969802466,0.3954429663071004,0.0799120950350736,0.7223494920409165
7.514623166372857,7.460639673422799,0.49970124954915146,0.499998466558756,0.5000029548009306,1.6278920578184903,0.498771155041297
2.7932442391532475,1.7319440531202681,0.6066389972424484,0.3703402369341601,0.5688904527729367,0.4667150318757621,0.7458291640434267
1.8146683937649566,1.569070984947047,0.720416535144306,0.11588000118923436,0.5957264981307235,1.1016446921983638,0.4839183559651036
2.0987888189917907,1.844901069741249,0.13500864612499627,0.585845282102711,0.46827580329554375,1.063305622130678,0.2591803850434489
2.748527946263344,1.886247646068678,0.3387758193100356,0.2949273600438043,0.48188741982976463,1.1991318133841269,0.7921041123695067
4.364537097479949,1.1771507882441696,0.1540025650078667,0.2464438807938373,0.21739900310130836,0.0835277297136854,0.19306557217016593
1.3672872882302167,5.402314493718367,0.5217584180775628,0.6014976517915323,0.5198704324161812,0.1279629533580079,0.4666355967808166
9.137406583447827,2.0619581535542446,0.49333405496036675,0.530228570117641,0.5008202065756069,0.7395505585487155,0.48187155560353284
1.8527168568887267,2.3051239832952484,0.21902923624531573,0.15302801946212458,0.5564477900884899,0.8722723627382797,0.6759739184509961
1.0228022932341614,7.151692248826928,0.192065349881877,0.1268111135194064,0.5109263784637339,0.8326939479638801,0.17009256255856411
7.529247093808291,1.8736493019252636,0.49968378195899643,0.6073134862705302,0.5000157078582629,1.4328324371051568,0.49879724626855415
7.407463920399124,1.5024586386564045,0.49996948399466473,0.6331819182115344,0.5000024536016322,1.7320698590619727,0.49988796080139775
1.9497643427432816,2.468081332726669,0.6394043107026323,0.7087037443215711,0.5285694241566524,1.1094983550095652,0.34449940515651795
7.512502522828481,7.46179455462532,0.4997156400454865,0.4999973177992645,0.5000035571588646,1.6183307744566795,0.4987512745751998
2.7763006751505905,14.34402948407781,0.4012746380168845,0.5767545069602813,0.33274145900275554,0.2382317224910811,0.26295110935367144
1.527713974533187,2.1942385678044407,0.4150229219878949,0.46082389655528805,0.5477618367374277,1.5012398394595188,0.3898960740296655
9.447111581684128,1.5443595738748985,0.4922078488340123,0.11395937780806467,0.5017242233485518,0.7640149693623901,0.4794877577516086
7.5124165241484535,7.461862460523277,0.499699022033646,0.499996782958028,0.500003918242968,1.618100386126599,0.4987474254137055
1.9100663521398498,5.833876118170674,0.46021496503341724,0.4844075795261974,0.5919199435397984,0.5960584858482347,0.3082976356390465
7.607169701949454,3.1679552488042453,0.49948699974876803,0.6101504349801596,0.500039314615373,1.3680577366627886,0.4982819088472313
5.349420028764562,2.2164869019398488,0.0717251398696812,0.3091394193192562,0.5102734819162767,0.3767790750854649,0.28386163362242456
7.513801512139692,7.461226879819302,0.4997116881022489,0.4999816773015631,0.500005554059147,1.624568034178286,0.4987790194402542
3.2473064515001204,2.874742964261912,0.5308212728976819,0.7166427708614521,0.5038166942452018,1.4684970771659278,0.645431328426335
2.242440358903864,8.55228929469318,0.46785361010763515,0.5019965065833748,0.49590949270029727,1.2998156557866587,0.8046342679335949
2.4296432275284934,1.650578220822697,0.21631615541765614,0.4548905321365249,0.5367383665011736,0.9014663520374488,0.4968742775935192
